t,x,y,z,vx,vy,vz
1.210,-0.300,7.822,0.955,0.000,-1.535,16.229,-1.571,-0.094
1.220,-0.300,7.806,1.117,0.000,-1.631,16.208,-1.571,-0.100
1.230,-0.300,7.789,1.279,0.000,-1.727,16.187,-1.571,-0.106
1.240,-0.300,7.770,1.440,0.000,-1.822,16.166,-1.571,-0.112
1.250,-0.300,7.751,1.602,0.000,-1.918,16.145,-1.571,-0.118
1.260,-0.300,7.731,1.763,0.000,-2.013,16.125,-1.571,-0.124
1.270,-0.300,7.710,1.924,0.000,-2.109,16.104,-1.571,-0.130
1.280,-0.300,7.688,2.085,0.000,-2.204,16.083,-1.571,-0.136
1.290,-0.300,7.665,2.246,0.000,-2.299,16.063,-1.571,-0.142
1.300,-0.300,7.641,2.406,0.000,-2.394,16.042,-1.571,-0.148
1.310,-0.300,7.616,2.566,0.000,-2.488,16.022,-1.571,-0.154
1.320,-0.300,7.590,2.726,0.000,-2.583,16.001,-1.571,-0.160
1.330,-0.300,7.563,2.886,0.000,-2.677,15.981,-1.571,-0.166
1.340,-0.300,7.536,3.046,0.000,-2.772,15.960,-1.571,-0.172
1.350,-0.300,7.507,3.205,0.000,-2.866,15.940,-1.571,-0.178
1.360,-0.300,7.478,3.364,0.000,-2.960,15.919,-1.571,-0.184
1.370,-0.300,7.447,3.523,0.000,-3.054,15.899,-1.571,-0.190
1.380,-0.300,7.415,3.682,0.000,-3.148,15.879,-1.571,-0.196
1.390,-0.300,7.383,3.841,0.000,-3.242,15.858,-1.571,-0.202
1.400,-0.300,7.350,3.999,0.000,-3.336,15.838,-1.571,-0.208
1.410,-0.300,7.315,4.157,0.000,-3.429,15.818,-1.571,-0.213
1.420,-0.300,7.280,4.315,0.000,-3.523,15.798,-1.571,-0.219
1.430,-0.300,7.244,4.473,0.000,-3.616,15.778,-1.571,-0.225
1.440,-0.300,7.207,4.631,0.000,-3.709,15.758,-1.571,-0.231
1.450,-0.300,7.169,4.788,0.000,-3.802,15.737,-1.571,-0.237
1.460,-0.300,7.130,4.945,0.000,-3.895,15.717,-1.571,-0.243
1.470,-0.300,7.090,5.102,0.000,-3.988,15.697,-1.571,-0.249
1.480,-0.300,7.049,5.259,0.000,-4.081,15.677,-1.571,-0.255
1.490,-0.300,7.008,5.415,0.000,-4.173,15.657,-1.571,-0.260
1.500,-0.300,6.965,5.572,0.000,-4.266,15.637,-1.571,-0.266
1.510,-0.300,6.921,5.728,0.000,-4.358,15.617,-1.571,-0.272
1.520,-0.300,6.877,5.884,0.000,-4.451,15.597,-1.571,-0.278
1.530,-0.300,6.831,6.040,0.000,-4.543,15.577,-1.571,-0.284
1.540,-0.300,6.785,6.195,0.000,-4.635,15.557,-1.571,-0.290
1.550,-0.300,6.738,6.351,0.000,-4.727,15.538,-1.571,-0.295
1.560,-0.300,6.690,6.506,0.000,-4.818,15.518,-1.571,-0.301
1.570,-0.300,6.640,6.661,0.000,-4.910,15.498,-1.571,-0.307
1.580,-0.300,6.590,6.816,0.000,-5.002,15.478,-1.571,-0.313
1.590,-0.300,6.540,6.970,0.000,-5.093,15.458,-1.571,-0.318
1.600,-0.300,6.488,7.125,0.000,-5.184,15.438,-1.571,-0.324
1.610,-0.300,6.435,7.279,0.000,-5.275,15.419,-1.571,-0.330
1.620,-0.300,6.381,7.433,0.000,-5.366,15.399,-1.571,-0.335
1.630,-0.300,6.327,7.587,0.000,-5.457,15.379,-1.571,-0.341
1.640,-0.300,6.271,7.740,0.000,-5.548,15.359,-1.571,-0.347
1.650,-0.300,6.215,7.894,0.000,-5.639,15.339,-1.571,-0.352
1.660,-0.300,6.158,8.047,0.000,-5.729,15.320,-1.571,-0.358
1.670,-0.300,6.099,8.200,0.000,-5.820,15.300,-1.571,-0.363
1.680,-0.300,6.040,8.353,0.000,-5.910,15.280,-1.571,-0.369
1.690,-0.300,5.980,8.505,0.000,-6.000,15.261,-1.571,-0.375
1.700,-0.300,5.919,8.658,0.000,-6.090,15.241,-1.571,-0.380
1.710,-0.300,5.858,8.810,0.000,-6.180,15.221,-1.571,-0.386
1.720,-0.300,5.795,8.962,0.000,-6.270,15.202,-1.571,-0.391
1.730,-0.300,5.731,9.114,0.000,-6.360,15.182,-1.571,-0.397
1.740,-0.300,5.667,9.265,0.000,-6.449,15.162,-1.571,-0.402
1.750,-0.300,5.601,9.417,0.000,-6.539,15.143,-1.571,-0.408
1.760,-0.300,5.535,9.568,0.000,-6.628,15.123,-1.571,-0.413
1.770,-0.300,5.468,9.719,0.000,-6.717,15.103,-1.571,-0.418
1.780,-0.300,5.400,9.870,0.000,-6.806,15.084,-1.571,-0.424
1.790,-0.300,5.331,10.020,0.000,-6.895,15.064,-1.571,-0.429
1.800,-0.300,5.261,10.171,0.000,-6.984,15.044,-1.571,-0.435
1.810,-0.300,5.190,10.321,0.000,-7.073,15.025,-1.571,-0.440
1.820,-0.300,5.119,10.471,0.000,-7.161,15.005,-1.571,-0.445
1.830,-0.300,5.046,10.621,0.000,-7.250,14.986,-1.571,-0.451
1.840,-0.300,4.973,10.771,0.000,-7.338,14.966,-1.571,-0.456
1.850,-0.300,4.899,10.920,0.000,-7.426,14.946,-1.571,-0.461
1.860,-0.300,4.823,11.069,0.000,-7.514,14.927,-1.571,-0.466
1.870,-0.300,4.747,11.218,0.000,-7.602,14.907,-1.571,-0.472
